CustomerApiid,CustomerId,AUM,RegisterDate,AmountFirstDeposit,TotalDeposits,TotalWithdrawals,MonthlyIncome,FinancialInvestmentsValue,Age,ComputedRiskTolerance
60a7d0011363ea0011d0eb80,192260,601.525832765500000000,"2021-06-10 21:23:31",100.013269003300000000,5,0,250.000000000000000000,3000,14,22.220000000000000000
60c77e1ffdaebd001875353e,192853,1798.831205633200000000,"2021-06-14 16:13:56",300.048411002700000000,2,0,8000.000000000000000000,180000,35,77.780000000000000000
588f45ae0a760bb65b380afa,11897,1621.043679661700000000,"2017-09-14 12:08:06",2500.000000000000000000,13,2,4500.000000000000000000,0,32,17.000000000000000000
5915d73623d4b1881694e11e,12583,78643.814177779900000000,"2017-09-25 15:44:40",2005.000000000000000000,37,7,18000.000000000000000000,120000,34,69.170000000000000000
591f5f3b3daa47c6488bce3f,5564,422.691159202000000000,"2017-05-22 18:38:05",2000.000000000000000000,23,7,2000.000000000000000000,45000,29,0.000000000000000000
5966a3dc3d3c271d31a9e17f,7597,1703.689480840300000000,"2017-07-13 15:11:03",1000.000000000000000000,52,30,8800.000000000000000000,0,31,15.500000000000000000
59fa4a0b7553e32694677234,16185,3237.225991931100000000,"2017-11-06 17:18:00",4800.000000000000000000,48,17,3150.000000000000000000,0,31,15.000000000000000000
5a12d0c07a8a363308626995,136072,0.000000000000000000,"2020-05-25 18:20:13",250.000000000000000000,10,6,2500.000000000000000000,0,22,11.500000000000000000
5a16d2947a8a363308646458,35402,27880.571844673900000000,"2018-03-26 14:52:16",500.000000000000000000,47,15,7150.000000000000000000,0,28,26.000000000000000000
5a21fe6bcb940a6cea0a9c89,21478,206184.528951730900000000,"2017-12-05 12:55:15",200.000000000000000000,93,5,16000.000000000000000000,200000,38,24.000000000000000000
5a788501ab516022b8989074,30045,2650.439094550900000000,"2018-02-07 12:58:26",100.000000000000000000,14,3,4000.000000000000000000,0,28,29.000000000000000000
5a836e43cc04904ac8ab39f2,30736,1425.280016593900000000,"2018-02-16 11:22:07",100.000000000000000000,14,0,2670.000000000000000000,1700,26,14.500000000000000000
5b2ed9e3b5a5fd000f14ff4d,50221,39.165311039700000000,"2018-07-23 16:22:20",500.000000000000000000,6,7,1500.000000000000000000,0,27,6.000000000000000000
5b4003feb8048e000eba4da2,66188,7086.852686546000000000,"2019-01-17 16:35:14",1000.000000000000000000,12,2,9000.000000000000000000,0,39,24.000000000000000000
5b76f2a8cc2bee001049b04e,53701,14530.948460947000000000,"2018-08-20 14:58:30",300.000000000000000000,46,8,3000.000000000000000000,12000,25,20.000000000000000000
5bef890984fe550010998055,61891,0.000000000000000000,"2018-11-19 17:49:34",1000.000000000000000000,20,3,1500.000000000000000000,0,38,27.000000000000000000
5c34159846f44d0010eb8b06,75262,14331.132603093700000000,"2019-04-22 12:36:27",525.000000000000000000,23,1,2500.000000000000000000,0,27,14.500000000000000000
5c83cc359523500017dafece,79829,12659.057445633300000000,"2019-06-01 18:27:05",300.000000000000000000,22,0,1100.000000000000000000,0,27,14.500000000000000000
5cdb2677bc2cee001aacffb6,79427,15.499072788200000000,"2019-05-29 23:40:40",2900.000000000000000000,14,4,4000.000000000000000000,0,30,15.000000000000000000
5d2a0d7d2b41d30010f1e791,98537,0.000000000000000000,"2019-09-08 19:47:25",100.000000000000000000,3,3,0.000000000000000000,900,36,6.000000000000000000
5d375057ec34170015e1625e,88495,711.985170768700000000,"2019-07-23 18:44:04",100.000000000000000000,7,0,4000.000000000000000000,3000,28,12.000000000000000000
5d6b2b16cec04b0010f18e30,96926,6241.066347884300000000,"2019-09-01 02:29:42",100.000000000000000000,15,3,3000.000000000000000000,0,22,9.000000000000000000
5da6331781488900102f1c4c,106017,1568950.459191114000000000,"2019-10-15 21:10:06",70000.000000000000000000,28,6,15000.000000000000000000,0,60,17.000000000000000000
5dc57ef99964bc0010f35367,110720,1952.546757937200000000,"2019-11-08 14:54:16",250.000000000000000000,11,0,4000.000000000000000000,0,38,20.000000000000000000
5dcdbf71f49d47001694215e,111820,796.249956689700000000,"2019-11-15 13:48:22",145.000000000000000000,15,9,1200.000000000000000000,0,26,14.500000000000000000
5df018fa5b78de0010533157,161918,0.000000000000000000,"2021-01-04 22:00:25",80.005975202500000000,1,1,1600.000000000000000000,100,24,14.000000000000000000
5e1a068433bb30001058c223,118970,104205.675541434000000000,"2020-01-11 17:39:55",130000.000000000000000000,24,3,5000.000000000000000000,150000,69,6.000000000000000000
5e232ce3b3e9690010fa0d26,120300,5085.552215996300000000,"2020-01-20 13:40:07",100.000000000000000000,12,1,1800.000000000000000000,835,24,8.000000000000000000
5e445eb814ee0500106fc340,123801,253.459387699500000000,"2020-02-12 20:40:51",200.000000000000000000,2,0,7000.000000000000000000,100,62,2.000000000000000000
5e5a826f949a39001062e146,159469,24699.112131912200000000,"2020-12-16 12:03:36",22802.366412501700000000,2,0,6000.000000000000000000,95000,46,17.500000000000000000
5e5dc694415b0c00110b7140,126261,5711.619705947400000000,"2020-03-04 12:27:34",25.000000000000000000,25,0,6368.750000000000000000,20000,27,61.460000000000000000
5ea45d02b81697001977ae87,133581,251.558447901900000000,"2020-04-25 16:05:39",700.000000000000000000,4,4,0.000000000000000000,0,25,14.000000000000000000
5eb2f5b682190d0017989330,134628,20642.537324828500000000,"2020-05-06 20:33:21",5000.000000000000000000,6,1,14000.000000000000000000,12000,37,8.000000000000000000
5ec6b47c3ba63d00191e80e5,136082,0.000000000000000000,"2020-05-25 20:26:51",80000.000000000000000000,4,5,11000.000000000000000000,370000,34,24.500000000000000000
5eda6b7e0515a600171572ac,137118,8.061678411600000000,"2020-06-05 19:17:52",300.000000000000000000,12,5,1200.000000000000000000,1700,20,10.500000000000000000
5edeb803681f8e0017f72e60,137420,35.951612409800000000,"2020-06-09 13:18:16",10000.000000000000000000,6,1,8500.000000000000000000,0,23,18.500000000000000000
5f048e91a288eb001da1d980,140140,3066398.922935134800000000,"2020-07-07 15:26:47",2000000.000000000000000000,14,9,20000.000000000000000000,3000000,74,21.000000000000000000
5f08b8d670d328001785f1ea,141141,204036.758526179500000000,"2020-07-15 22:21:20",137290.630000000000000000,14,2,15000.000000000000000000,200000,71,21.000000000000000000
5f31c8ddc9349e0010092135,166059,0.000000000000000000,"2021-01-31 01:21:17",100.000000000000000000,1,1,9000.000000000000000000,30000,42,58.330000000000000000
5f331150022eb20010a1f6e2,144641,5643.660798809700000000,"2020-08-11 22:34:22",500.000000000000000000,6,1,8000.000000000000000000,30000,45,18.500000000000000000
5f43f424a5d8cd0018660191,146084,112.841892277100000000,"2020-08-24 17:26:20",500.000000000000000000,6,1,5000.000000000000000000,30000,41,13.000000000000000000
5f8f484ac894ee00103168d6,153133,1018640.582255588700000000,"2020-10-22 15:30:18",580000.000000000000000000,101,5,5000.000000000000000000,500000,56,20.000000000000000000
